"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que credenciais inválidas geram erro","2249","Faz Login de Usuário com falha","","2025-12-08","passed","2025-12-08","","br.com.templeofrock.tests.TempleOfRockTest","br.com.templeofrock.tests.TempleOfRockTest","fazLoginComFalha"
"Testa a busca de bandas específicas pelo nome","2131","[2] Ultimate School","","2025-12-08","passed","2025-12-08","","br.com.templeofrock.tests.TempleOfRockTest","br.com.templeofrock.tests.TempleOfRockTest","consultaBandaPorNome"
"Valida que o título da página é 'Temple Of Rock'","928","Verifica o título da página Temple of Rock","","2025-12-08","passed","2025-12-08","","br.com.templeofrock.tests.TempleOfRockTest","br.com.templeofrock.tests.TempleOfRockTest","verificaTituloPagina"
"Valida que e-mail inválido gera erro no cadastro","1824","Faz Cadastro de Novo Usuário com E-mail Inválido","","2025-12-08","passed","2025-12-08","","br.com.templeofrock.tests.TempleOfRockTest","br.com.templeofrock.tests.TempleOfRockTest","cadastraUsuarioComEmailInvalido"
"Testa a busca de bandas específicas pelo nome","2746","[3] Dr. Doom","","2025-12-08","passed","2025-12-08","","br.com.templeofrock.tests.TempleOfRockTest","br.com.templeofrock.tests.TempleOfRockTest","consultaBandaPorNome"
"Testa a busca de bandas específicas pelo nome","2375","[1] Metal Factor","","2025-12-08","passed","2025-12-08","","br.com.templeofrock.tests.TempleOfRockTest","br.com.templeofrock.tests.TempleOfRockTest","consultaBandaPorNome"
"Testa o registro de novo usuário com dados válidos","2307","Faz Cadastro de Novo Usuário com sucesso","","2025-12-08","passed","2025-12-08","","br.com.templeofrock.tests.TempleOfRockTest","br.com.templeofrock.tests.TempleOfRockTest","cadastraNovoUsuarioComSucesso"
"Testa a adição de discos à banda","8427","Inclui Discos para uma Banda","","2025-12-08","passed","2025-12-08","","br.com.templeofrock.tests.TempleOfRockTest","br.com.templeofrock.tests.TempleOfRockTest","incluiDiscosParaBanda"
"Valida o login com credenciais válidas","2241","Faz Login de Usuário com sucesso","","2025-12-08","passed","2025-12-08","","br.com.templeofrock.tests.TempleOfRockTest","br.com.templeofrock.tests.TempleOfRockTest","fazLoginComSucesso"
"Testa a busca de bandas por diferentes letras do alfabeto","2796","[1] M","","2025-12-08","passed","2025-12-08","","br.com.templeofrock.tests.TempleOfRockTest","br.com.templeofrock.tests.TempleOfRockTest","consultaListaBandasPorLetra"
"Testa o cadastro completo de uma nova banda","18981","Faz o Cadastro de uma Nova Banda","","2025-12-08","broken","2025-12-08","","br.com.templeofrock.tests.TempleOfRockTest","br.com.templeofrock.tests.TempleOfRockTest","cadastraNovaBanda"
"Testa cancelar alterações","8413","Desiste da Edição de Banda","","2025-12-08","passed","2025-12-08","","br.com.templeofrock.tests.TempleOfRockTest","br.com.templeofrock.tests.TempleOfRockTest","desisteDaEdicaoDeBanda"
"Testa a busca de bandas por diferentes letras do alfabeto","1972","[4] L","","2025-12-08","passed","2025-12-08","","br.com.templeofrock.tests.TempleOfRockTest","br.com.templeofrock.tests.TempleOfRockTest","consultaListaBandasPorLetra"
"Testa a busca de bandas por diferentes letras do alfabeto","1704","[2] D","","2025-12-08","passed","2025-12-08","","br.com.templeofrock.tests.TempleOfRockTest","br.com.templeofrock.tests.TempleOfRockTest","consultaListaBandasPorLetra"
"Testa a busca de bandas por diferentes letras do alfabeto","1675","[3] U","","2025-12-08","passed","2025-12-08","","br.com.templeofrock.tests.TempleOfRockTest","br.com.templeofrock.tests.TempleOfRockTest","consultaListaBandasPorLetra"
"Testa a edição de banda existente e adição de discografia","8702","Faz a Edição de Banda e Inclui novos Discos","","2025-12-08","passed","2025-12-08","","br.com.templeofrock.tests.TempleOfRockTest","br.com.templeofrock.tests.TempleOfRockTest","editaBandaEIncluiDiscos"
